picture_id,SMILES,url,paper_id
0cef6740-1c7a-46ac-baa0-dd59d9b5c2bd,CCCC(C)O[C@@H]1CC([C@H](C(O1)C)O)(C)N=O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_3_bnw_0.png,d5c101015af16097dd7a
5435404c-aae4-4e62-a852-f111b5937afe,CC1[C@@H](C(C([C@H](O1)O[Si](C(C)C)(C(C)C)C(C)C)O)O)C,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_6_bnw_5.png,d5c101015af16097dd7a
49cfa972-a9e7-4fba-9ba6-bc5d55e02d3b,CCCC(C(C)C)O[C@@H]1CC([C@H](C(O1)C)OC)(C)N,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_3_bnw_3.png,d5c101015af16097dd7a
e8a6a4fe-f70a-475e-8fd9-05015bfc6cb1,C(C1[C@@H](C(C([C@H](O1)O)O)N)O)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_2_bnw_12.png,d5c101015af16097dd7a
6dcb7925-a01e-4fe4-bf61-ec8fcc9fab4a,C[C@@H](CC(=O)O)CC(=O)O[C@H](CC(=O)O[C@H]1CN(C)[C@@H]([C@@H]([C@@H]2[C@H]([C@H](C(N3C=CC(=O)NC3=O)O2)O)O)O[C@@H]4[C@@H]([C@@H]([C@@H](CN)O4)O)O)C(=O)N(C,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_12_bnw_0.png,d5c101015af16097dd7a
2ae98530-a016-4a4c-bc39-9e23ad2c2420,CC(=O)NC1([C@H](OC2CC1(C2=O)O)OC3=C(C=C(C=C3)I)I)CSC,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_6_bnw_6.png,d5c101015af16097dd7a
bcca5d89-da93-417e-86fb-6b365454a86d,C(C1[C@@H](C(C([C@H](O1)O)N)O)O)N,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_2_bnw_19.png,d5c101015af16097dd7a
d98c6a56-6f32-4793-bbbc-4ff524d3ed49,CC1=C(/C(=C\[N+]([H])=C(C(=O)[O-])[R])/C(=CN1)COP(=O)(=O)=O)[O-],/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_5_bnw_11.png,d5c101015af16097dd7a
dacb6c40-85e2-4c9c-9593-16001a2364d7,CC1C(=CC([C@H](O1)OCC2=C(C=C(C=C2)OC)OC)O)[N+](=CC3=C(C=[N+](C(=C3[O-])C)C)COP(=O)=O)C,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_10_bnw_5.png,d5c101015af16097dd7a
7a6365ae-bbcc-4a62-ab9b-6518d0f699fd,CC1[C@](C(C([C@H](O1)O)O)N)(C)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_2_bnw_23.png,d5c101015af16097dd7a
0be92644-6fbb-44c3-92fb-22329c4cc9ff,CC1C(=[N+](C)/C=C/2\C(=C([NH+]=C2COP(=O)(=O)=O)OC)[O-])CC(C(O1)OC(=O)F)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_8_bnw_4.png,d5c101015af16097dd7a
89a91cc6-b99a-41ba-b21c-0a28d9c2413b,C[C@@H]([C@@H](C1[C@@H](C(C[C@@](O1)(C(=O)O)O)O)NC(=O)C)NC(=O)C)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_2_bnw_0.png,d5c101015af16097dd7a
6d5c2b0b-fe54-436c-9b5e-635332be324f,[H][C@@]([3H])(C1=C(C=[N+](C(=C1[O-])C)C)COP(=O)([O-])[O-])[N+](=C2C(OC(C(C2O)O)OC(=O)[O-])C)[3H],/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_8_bnw_3.png,d5c101015af16097dd7a
e5b50088-ae14-4946-a0b8-d90c602911a1,CNCC1(CO[C@@H](C(C1O)O)O)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_2_bnw_13.png,d5c101015af16097dd7a
37091b10-6954-4c08-b16b-f49a392c800b,CCC(=O)O[C@H]1C(CC(C(O1)C)O)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_8_bnw_1.png,d5c101015af16097dd7a
e16560c3-fe83-4ab1-a73e-7f78304cb9a7,C[C@H]([C@H](C1[C@@H](C(C[C@@](O1)(C(=O)O)O)O)NC(=O)C)NC(=O)C)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_2_bnw_18.png,d5c101015af16097dd7a
23bd6a18-a715-466b-824a-a6621e3c055c,CCCCN(CCCC)O[C@H]1C2(C([C@@H](O1)C(OC2=O)C)O)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_4_bnw_3.png,d5c101015af16097dd7a
0ed6129e-a67c-4d3c-84e5-01bd1ee1e57f,CC1C(=[N+](C)/C=C/2\C(=C([NH+]=C2COP(=O)(=O)=O)OC)[O-])CC(C(O1)OC(=O)F)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_8_bnw_5.png,d5c101015af16097dd7a
1c345cb4-1d44-4604-b9e5-2dfc922d082d,CC1[C@@H](C(C([C@H](O1)O[C@H](C(C)C)C(C)C)O)O)C,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_6_bnw_4.png,d5c101015af16097dd7a
b7acac84-31a6-4647-bdfa-b2df6a32d8b0,CCCCO[C@H]1C(C([C@H](O1)C)O)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_10_bnw_6.png,d5c101015af16097dd7a
4b8e0bc3-5f3a-4dee-a018-61093c8cc641,CC1[C@@H](CC[C@@H](O1)O[Si](C(C)C)(C(C)C)C(C)C)[N+](C)(C)CC2=C(C(=[N+](C=C2COP(=O)(O)O)C)C)[O-],/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_11_bnw_1.png,d5c101015af16097dd7a
d6d81741-5467-42de-8dd6-4aa5b620deb4,[H][C@]([H])(C1=C(C=[NH+]C(=C1[O-])C)COP(=O)([O-])[O-])[N+](=C2C(OC(C(C2O)O)OCC(OC)OC)C)[3H],/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_5_bnw_13.png,d5c101015af16097dd7a
8d0137eb-9234-4277-a9b3-3e6aaed70c3e,CC1[C@@H](CC(O1)[C@@H](OC)OC2=C(C=CC=C2C(C)C)C(C)C)[NH3+],/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_10_bnw_4.png,d5c101015af16097dd7a
cc5ed945-3ce0-4960-9e8b-3e13cceec16b,CCCCC/C=C\C/C=C\CCCC[125I],/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_12_bnw_6.png,d5c101015af16097dd7a
38932281-8834-43fe-b78a-552edd688268,CC1=C(C(=C(C=[NH+]1)COP(=O)([O-])[O-])/C(=[N+](/[H])\[Si](C)(C)C)/NC2C(C(C(OC2C)ON=S(=O)=O)O)O)[O-],/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_5_bnw_4.png,d5c101015af16097dd7a
e4f394f2-ac4d-4850-9b31-400658b000f4,CC1=C(C(=C(C=[NH+]1)COP(=O)=O)[C@@H](C)[N+](=[R]([H])[C@H]2C(C3[C@@H](OC2C)OC(O3)(O4)OC5=C(C=CC=C5C(C)(C)C)C(C)(C)C)O)C)[O-],/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_10_bnw_2.png,d5c101015af16097dd7a
4c6e9682-6f94-426c-815f-291f9c0ce37d,CC(C)[Si](C(C)C)(C(C)C)O[C@H]1C[C@@]2(C[C@H]2[N+](=C(C3=C(C=[NH+]C(=C3[O-])C)COP(=O)(O)O)[O-])C)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_11_bnw_5.png,d5c101015af16097dd7a
d31717f4-1565-4dcc-ba5f-ab6b9beb55da,CC1=C(C(=C(C=[NH+]1)COP(=O)(O)O)C=[N+]([H])[C@@](C)(C(=O)[O-])[R])[O-],/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_5_bnw_0.png,d5c101015af16097dd7a
39e327fa-f280-4fd7-937f-dff8fd265568,CCCC(C)O[C@@H]1CC([C@H](C(O1)C)O)(C)N,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_3_bnw_2.png,d5c101015af16097dd7a
5f04d81d-6dd2-4579-bc28-b9bfb38178df,CC1C(C[C@@H](O1)O)([C@H](C)O)N,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_2_bnw_4.png,d5c101015af16097dd7a
c3904b68-efaa-47c3-bba7-206bd312b559,CCCCCCCCCCCC[CH2-],/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_12_bnw_3.png,d5c101015af16097dd7a
cf0c49ce-f87c-4393-b3d2-3e3d90415392,CC(C)[Si](C(C)C)(C(C)C)O[C@@H]1C(C(=O)[C@@H](C(O1)C)C)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_6_bnw_11.png,d5c101015af16097dd7a
4870e2e7-f4ee-4254-af66-095a541d6eec,[H+].CC1C(=CC([C@@H](O1)O[Si](C2=CC=CC=C2)(C3=CC=CC=C3)C(C)C)O)N,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_10_bnw_1.png,d5c101015af16097dd7a
08f2ae39-2e7d-43fb-80dc-83c6dbeb3f43,CC1C(=O)C(C([C@H](O1)OCC2=C(C=C(C=C2)OC)OC)NC(=O)C)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_6_bnw_3.png,d5c101015af16097dd7a
31de0e08-2134-4171-b13f-a438a775b3ac,C[C@]1(CC([C@H](OC1)O)(CNC)O)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_2_bnw_15.png,d5c101015af16097dd7a
1ee3b141-1161-42ab-a68a-9978585fd9eb,CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.C.C.C,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_5_bnw_12.png,d5c101015af16097dd7a
ec8913cb-1079-41fe-9e9c-fafd2543d99a,C(C1[C@@H](C(C([C@H](O1)O)N)O)O)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_2_bnw_6.png,d5c101015af16097dd7a
5b19eaa7-39ee-4d4d-958d-d0f0a75a3c3a,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)[C@H]([C@H](C(=O)O)N)O)O)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_12_bnw_2.png,d5c101015af16097dd7a
a2d9be79-a3ce-409b-9f2b-85527f6a60f8,CCCCNO[C@@H]1C(C(=O)[C@@H]([C@@H](O1)C)O)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_4_bnw_2.png,d5c101015af16097dd7a
6d3ab0f2-97af-486d-8d94-41cb66f87880,CC1[C@@H](C(=O)C([C@H](O1)OC2CCCCO2)O)O,/user/mahaohui/IMG2SMILES/collect_NCBI/example_pictures/d5c101015af16097dd7a/segments/page_6_bnw_2.png,d5c101015af16097dd7a
